66.249.64.211 - - [10/Dec/2017:22:19:09 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 70 "http://www.espacioperinatal.com/parto-enfrentando-un-nacimiento-prematuro/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.211 - - [10/Dec/2017:22:19:12 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 70 "http://www.espacioperinatal.com/parto-enfrentando-un-nacimiento-prematuro/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.211 - - [10/Dec/2017:22:19:16 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 - "http://www.espacioperinatal.com/parto-enfrentando-un-nacimiento-prematuro/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.213 - - [10/Dec/2017:22:25:37 +0100] "GET /el-ciclo-vital-y-las-crisis-evolutivas/ HTTP/1.1" 200 23086 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.215 - - [10/Dec/2017:22:26:13 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 61 "http://www.espacioperinatal.com/el-ciclo-vital-y-las-crisis-evolutivas/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.211 - - [10/Dec/2017:22:26:15 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 70 "http://www.espacioperinatal.com/el-ciclo-vital-y-las-crisis-evolutivas/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.213 - - [10/Dec/2017:22:26:17 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 70 "http://www.espacioperinatal.com/el-ciclo-vital-y-las-crisis-evolutivas/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.211 - - [10/Dec/2017:22:26:19 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 71 "http://www.espacioperinatal.com/el-ciclo-vital-y-las-crisis-evolutivas/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.211 - - [10/Dec/2017:22:26:21 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 70 "http://www.espacioperinatal.com/el-ciclo-vital-y-las-crisis-evolutivas/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.211 - - [10/Dec/2017:22:26:25 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 70 "http://www.espacioperinatal.com/el-ciclo-vital-y-las-crisis-evolutivas/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.211 - - [10/Dec/2017:22:26:26 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 22 "http://www.espacioperinatal.com/el-ciclo-vital-y-las-crisis-evolutivas/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.211 - - [10/Dec/2017:22:26:33 +0100] "POST /wp-admin/admin-ajax.php HTTP/1.1" 200 - "http://www.espacioperinatal.com/el-ciclo-vital-y-las-crisis-evolutivas/" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
185.22.173.228 - - [10/Dec/2017:22:27:25 +0100] "GET / HTTP/1.1" 301 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.100 Safari/534.30"
66.249.64.213 - - [10/Dec/2017:22:38:16 +0100] "GET /psicologia-perinatal-blog-espacio-perinatal/ HTTP/1.1" 200 22756 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
