185.22.173.228|GET / HTTP/1.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.24 Safari/535.1|Chrome|GET|/|200|2017-12-10T21:12:51+00:00|"-"
176.223.111.212|GET /?mailpoet_error=1 HTTP/1.1|Mozilla/5.0 (Windows NT 5.1) AppleWebKit/534.30 (KHTML, like Gecko) Comodo_Dragon/12.1.0.0 Chrome/12.0.742.91 Safari/534.30|Comodo Dragon|GET|/?mailpoet_error=1|200|2017-12-10T21:12:52+00:00|"http://www.espacioperinatal.com/"
185.22.173.228|POST /wp-admin/admin-post.php?action=mailpoet_subscription_form HTTP/1.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.24 Safari/535.1|Chrome|POST|/wp-admin/admin-post.php?action=mailpoet_subscription_form|302|2017-12-10T21:12:54+00:00|"http://www.espacioperinatal.com/"
185.22.173.228|GET /?mailpoet_error=1 HTTP/1.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.24 Safari/535.1|Chrome|GET|/?mailpoet_error=1|200|2017-12-10T21:12:55+00:00|"http://www.espacioperinatal.com/"
66.249.64.215|GET /blog-espacio-perinatal/parto-enfrentando-un-nacimiento-prematuro/ HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|GET|/blog-espacio-perinatal/parto-enfrentando-un-nacimiento-prematuro/|301|2017-12-10T21:18:41+00:00|"-"
66.249.64.211|GET /parto-enfrentando-un-nacimiento-prematuro/ HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|GET|/parto-enfrentando-un-nacimiento-prematuro/|200|2017-12-10T21:18:43+00:00|"-"
66.249.64.213|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:19:00+00:00|"http://www.espacioperinatal.com/parto-enfrentando-un-nacimiento-prematuro/"
66.249.64.213|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:19:01+00:00|"http://www.espacioperinatal.com/parto-enfrentando-un-nacimiento-prematuro/"
66.249.64.211|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:19:03+00:00|"http://www.espacioperinatal.com/parto-enfrentando-un-nacimiento-prematuro/"
66.249.64.211|POST /wp-admin/admin-ajax.php HTTP/1.1|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|Googlebot|POST|/wp-admin/admin-ajax.php|200|2017-12-10T21:19:05+00:00|"http://www.espacioperinatal.com/parto-enfrentando-un-nacimiento-prematuro/"
